"id","created_at","name","has_test","alternate_url"
"129286290","2026-01-12T12:03:06+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/129286290"
"129301001","2026-01-12T14:26:21+0300","Data scientist - стажер",false,"https://hh.ru/vacancy/129301001"
"129482452","2026-01-15T16:35:00+0300","Data Scientist",false,"https://hh.ru/vacancy/129482452"
"129586320","2026-01-19T11:34:36+0300","Senior Data Scientist",false,"https://hh.ru/vacancy/129586320"
"129673886","2026-01-20T18:27:31+0300","Начинающий специалист / Data Analyst / Data Scientist",true,"https://hh.ru/vacancy/129673886"
"129728975","2026-01-21T21:06:48+0300","Data Science Lead / ML & AI Architect",false,"https://hh.ru/vacancy/129728975"
"129760877","2026-01-22T14:39:52+0300","Data Scientist в команду Пополнения",false,"https://hh.ru/vacancy/129760877"
"129775186","2026-01-22T23:28:19+0300","Junior ML/Data Scientist",false,"https://hh.ru/vacancy/129775186"
"129978171","2026-01-28T21:34:35+0300","Аналитик данных / Data-аналитик / Data Scientist / Продуктовый аналитик (Python)",false,"https://hh.ru/vacancy/129978171"
"130117102","2026-02-03T10:20:09+0300","Data Engineer",false,"https://hh.ru/vacancy/130117102"
"130134625","2026-02-03T15:18:56+0300","Data Scientist (marketing)",false,"https://hh.ru/vacancy/130134625"
"130143277","2026-02-03T19:19:54+0300","Data scientist",false,"https://hh.ru/vacancy/130143277"
"130144393","2026-02-03T22:23:02+0300","Владелец ИИ-продуктового контура (международный проект)",false,"https://hh.ru/vacancy/130144393"
"130159628","2026-02-04T11:36:13+0300","Data Scientist / Дата-сайентист",false,"https://hh.ru/vacancy/130159628"
"130203507","2026-02-05T12:47:05+0300","Data Engineer",false,"https://hh.ru/vacancy/130203507"
"129426267","2026-02-07T15:00:40+0300","Data Scientist (Junior)",false,"https://hh.ru/vacancy/129426267"
"130080897","2026-02-08T11:25:16+0300","Data Scientist",false,"https://hh.ru/vacancy/130080897"
"130261218","2026-02-08T16:49:12+0300","Senior Product Manager",true,"https://hh.ru/vacancy/130261218"
"130270815","2026-02-09T09:38:24+0300","Data Scientist / Machine Learning Engineer (специалист по машинному обучению и большим данным)",false,"https://hh.ru/vacancy/130270815"
"121370571","2026-02-09T09:55:07+0300","Data Scientist / ML Engineer",false,"https://hh.ru/vacancy/121370571"
